frame_id,total score,0's score,1's score,2's score,3's score
40,167974050.14589617,58550285.850527115,51669193.430329315,57751248.797828354,3322.0672113649957
41,167401530.90431446,58404884.35871213,51764705.197049536,57228618.13094947,3323.217603329526
42,167851204.8511213,58734315.959069744,51827366.32581051,57286198.374754146,3324.1914869196034
43,168502441.2551021,58504300.693519905,51855784.44974153,58139032.47572391,3323.63611674348
44,169481463.3653607,58796151.763687275,51868778.008358516,58813210.60464477,3322.988670139147
45,169451238.37686676,58765786.17865667,51974137.15597536,58707992.05350052,3322.9887342068064
46,169491885.1652429,58846767.16433132,52046429.89627148,58595365.51324192,3322.591398203853
47,169671767.25456586,59092670.91147395,52132723.910779834,58443049.03485537,3323.3974567091077
48,170277851.1047455,59254846.73263582,52266540.82857906,58753138.7665467,3324.776983919349
49,170709451.12655258,59523967.13839936,52479264.66793443,58702894.13582724,3325.184391557362
50,170862543.59124282,59605634.80598811,52524726.124244355,58728856.38622794,3326.274782416136
51,171128467.91866976,59712367.09933529,52838405.8829462,58574369.152250685,3325.784137592401
52,171332122.07011396,59922187.02605198,53007452.18069592,58399159.06774729,3323.7956187824407
53,171344839.2557389,59865533.313682124,53226225.71826254,58249756.90786123,3323.315932997255
54,171042484.73032513,59753391.52603885,53334146.841956876,57951623.1442888,3323.218040593592
55,171453892.36741897,59732791.88341163,53584107.71652267,58133670.02095388,3322.7465307849625
56,171273500.9267035,59559963.58758499,53704027.512424365,58006185.679502696,3324.1471914592526
57,171248272.17885244,59464022.31808871,53782424.26395356,57998502.990672134,3322.6061380277083
58,171539813.74869686,59495304.22088587,54066809.50888683,57974375.808452554,3324.2104716153376
59,172096565.58531597,59759347.76610384,54281319.67104935,58052572.2952961,3325.8528666611173
60,172609813.38082546,59927543.57220788,54455478.19196965,58223465.06342484,3326.553223108581
61,172933302.66118166,60078456.43718597,54701791.66744564,58149726.65950915,3327.8970408886657
62,173517837.33828837,60259278.841017835,54904551.5078852,58350677.84026614,3329.1491191797018
63,173774206.86757508,60223397.99854734,55091923.03730678,58455557.529924184,3328.301796788186
64,173582261.41085577,60221709.88147912,55346150.32052019,58011073.587821275,3327.6210351858663
65,173274999.32607305,59960855.41374597,55477631.51755272,57833183.421641134,3328.973133232423
66,173888936.20789516,60250324.2375027,55681607.46423285,57953675.2215584,3329.284601218639
67,174017878.98502758,60231108.97064478,55887498.33225159,57895940.80033188,3330.881799323915
68,174617265.6399411,60569333.46504022,55991577.23038745,58053023.09248101,3331.8520324315923
69,174675979.55345604,60485552.22382513,56256035.70983192,57931060.94667016,3330.6731288307274
70,174838639.51772088,60424019.51585433,56573274.999797,57838014.60813587,3330.393933663223
71,173887653.5439299,59756431.60871173,56628217.91505081,57499674.766959384,3329.253207982832
