frame_id,total score,0's score,1's score,2's score,3's score
35,170505686.28220963,59299009.500112355,57333890.311775945,53869443.04560705,3343.4247142611616
36,169560107.41092634,58838475.2825889,57400287.20645514,53318000.57814304,3344.3437392621577
37,169762690.57637343,59064595.23301438,57259163.776752785,53435587.151563235,3344.415043030904
38,169642754.66326606,59022791.656722754,57358044.44051309,53258575.102139585,3343.463890634427
39,168889926.41266018,58880152.36855066,57240919.610517405,52765512.02441016,3342.409181952189
40,168412597.5061985,58780709.47761778,57245346.46796266,52383199.635354936,3341.9252631233603
41,168328208.36079663,58948877.856488645,57083875.11868887,52292112.21626891,3343.1693502079634
42,168162770.54641512,58873340.18516179,56983056.08116106,52303031.15597816,3343.1241141179653
43,168243133.56625393,59214565.59499985,56855181.366207704,52170042.85882012,3343.746226250747
44,167911280.62349513,59108066.69833098,56820628.688930295,51979241.936875604,3343.299358244456
45,167477280.94334337,58899725.26174451,56678695.26025177,51895517.21593148,3343.2054156188888
46,167225805.78959048,58693543.84863251,56790013.466669194,51738905.20366479,3343.27062397842
47,166960540.26674193,58736910.26849887,56786276.216327965,51434011.31056174,3342.4713533381423
48,166927946.3327892,58819213.1629366,56675806.08357651,51429582.63287389,3344.453402220421
49,166938327.33803242,58892497.09045251,56654367.73358957,51388118.76861344,3343.745376910903
50,166673020.97538123,58762460.02020862,56667378.21805234,51239838.57658781,3344.1605324379916
51,166586334.8703127,58831589.86622756,56619913.42623645,51131486.863560624,3344.7142880668957
52,166812495.15762496,59114552.59613411,56391229.85393578,51303367.95860407,3344.748950998794
53,166572815.1118359,59062226.662997484,56452718.28539933,51054525.936596684,3344.2268423876308
54,166021845.72225717,58674777.18187212,56502258.21605562,50841466.185332604,3344.1389968068547
55,166153963.0053574,58751690.54227588,56552235.00342412,50846692.67151641,3344.7881409981624
56,165816931.0909881,58601866.799777426,56570519.48765529,50641199.89315836,3344.9103970108595
57,165854807.155426,58525593.96166953,56712739.93768048,50613129.306792796,3343.9492831815373
58,165373274.7840088,58350771.578815244,56711956.328392886,50307202.73552203,3344.141278638145
59,165612487.34701484,58560163.14610759,56722426.283271044,50326553.20686577,3344.710770431357
60,165672078.7060988,58597738.43524923,56724846.43402268,50346149.35409317,3344.482733697752
61,165616512.01621842,58833447.420097366,56457815.19075064,50321904.079578415,3345.3257919833472
62,165658071.78813142,58965055.09865701,56440088.07930492,50249583.31579742,3345.294372078596
63,165791657.94654468,58917424.012836866,56575384.28397944,50295504.41340847,3345.2363199058136
64,165490386.3161193,58815276.01421121,56621197.99681099,50050568.14215552,3344.1629415909542
65,165227976.06600457,58666848.054747574,56578374.91730166,49979407.880912386,3345.2130429429635
66,165559810.8059989,58832493.214165606,56801431.49563586,49922541.94973561,3344.1464618138166
67,165512535.69577387,59037821.50007501,56692431.24956573,49778938.26051108,3344.6856220441155
68,166041252.387443,59370122.94097945,56756566.56632514,49911218.1388037,3344.741334723322
69,165626591.8812052,59039696.744035125,56812025.43043041,49771525.1653434,3344.541396276812
70,166041775.5634711,59411474.83618478,57002776.05851615,49624179.58623444,3345.082535745378
71,166615060.27002937,59885257.553545065,57008915.98631973,49717540.72831499,3346.001849572481
72,166631695.42971706,59713687.98921479,57205044.994130984,49709617.25288014,3345.1934911599074
73,166621696.41503215,59737844.990324266,57447507.24465202,49432999.793223694,3344.3868321832515
74,166423917.6345245,59396787.19820001,57776167.53990727,49247619.33230391,3343.564113287332
75,166264136.84643286,59242190.43168757,58004398.30239641,49014205.99357209,3342.11877678949
76,166344476.6737119,59409440.013244644,58049942.6695243,48881750.28627977,3343.7046631883863
