frame_id,0's score
0,0.0
1,0.0
2,6069.916395631076
3,6072.816631737786
4,331325172.2096187
5,338072675.94967693
6,352006540.44980717
7,359167665.41570896
8,366001176.500283
9,374227623.1452484
10,390082989.34531385
11,399210124.77866143
12,407646421.2893681
13,416268063.9392448
14,425089227.66486603
15,433830156.69995993
16,442794432.71473753
17,451530435.91092116
18,460572315.6603075
19,467970045.2111892
20,487259162.35913837
21,505483071.93792903
22,514641365.97496915
23,514767619.9879708
24,530662437.19231355
25,539596700.4330223
26,548850701.6077213
27,564821360.1471736
28,564617258.3787104
29,573939175.5758715
30,580682954.1323467
31,599127398.1346477
32,598840872.0062947
33,605462345.6707872
34,614561739.7461792
35,631778272.8058674
36,639422442.9200523
37,647844408.0208329
38,655656718.474065
39,672770806.9253869
40,689999213.3480655
41,688638998.4515164
42,696370643.9659252
43,713308656.062883
44,721012683.4981658
45,728679039.1077824
46,745310167.0435407
47,743769332.757619
48,751184963.0354453
49,758467651.2669466
50,774752118.1038127
51,782001918.6107496
52,789119728.732469
53,796197254.0288713
54,803303560.3106382
55,810171662.8018643
56,816840351.8022172
57,821030550.3982807
58,823755486.3895174
59,838899096.6298805
60,845412652.6684902
61,851750417.7005557
62,857903652.2386336
63,855805517.987374
64,862031966.5974591
65,876254001.7829096
66,881778561.8289684
67,887829182.1367805
68,885619549.6666161
69,898576171.0082753
70,904270060.0915496
71,909547058.3140322
72,914873420.8245425
73,919587846.6932639
74,925084486.0701189
75,930038170.9683211
76,934843137.3972859
77,946534019.5287968
78,951284373.6257786
79,955712698.6045401
80,960193206.9085351
81,964899637.5187068
82,962411431.2972327
83,972923048.6698684
84,977204018.5692265
85,981039868.5763066
86,991719467.1675161
87,989294420.5444864
88,999193782.5422312
89,996801649.527818
90,1006858222.7254701
91,1009726985.0197599
92,1013286647.7353221
93,1016620305.1874751
94,1020220295.1969358
95,1023207716.28533
96,1026358131.4339677
97,1024248245.7754974
98,1028075224.3523909
99,1031447793.9075568
100,1029745342.5563205
101,1022852086.8616408
102,1031510944.226569
103,1028910361.0688918
104,1031777083.9206703
105,1034607823.3634928
106,1027095694.3252716
107,1025669775.829239
108,1028297953.6226598
109,1030909450.1601447
110,1028417683.0309174
111,1029150875.7729697
112,1031316129.1118629
113,1029312533.027479
114,1031353074.7089947
115,1033837217.4809247
116,1033643766.9092362
117,1027103702.0101696
118,1029224356.309813
119,1027073751.6944731
120,1027858516.0348132
121,1025853692.6456753
122,1021047248.7348398
123,1011240638.3498461
124,1009334589.6836084
125,1011544547.8010697
126,1013217912.6288018
127,1010411142.1988828
128,1003820360.1285441
129,1005916598.4438999
130,1004297947.501932
131,1006810421.5246384
132,1004885529.2527498
133,1005862190.4414228
134,1003034971.0262324
135,1001197547.3558637
136,995221365.0376506
137,989621974.8055929
138,991624052.9550636
139,986588744.5996866
140,984504895.628704
141,978461420.744518
142,980707799.3419644
143,978923429.92944
144,984683090.7116622
145,978205251.7770822
146,972850584.7841367
147,967283568.3122042
148,965816864.5532858
149,964501289.0160769
150,961840023.7992024
151,962793717.0208371
152,961428660.7034128
153,963364268.3926684
154,965165587.5360416
155,966582786.9072902
156,962000050.2602952
157,959237461.7720042
158,961034386.6368304
159,965441806.7571387
160,964018133.6855114
161,955476452.7494642
162,951123787.1891437
163,943582953.5569068
164,942588492.9852417
165,938375808.9228654
166,937232868.1470928
167,935983981.8818566
168,934986706.0401593
169,933376174.5469085
170,935507259.8103908
171,931683205.5155772
172,936343578.6082453
173,933353659.2543921
174,935274370.2483543
175,933607880.5174698
176,929907181.8427932
177,926436624.3802096
178,925796216.359168
179,927770100.5636246
180,928440115.1538279
181,930613199.1194388
182,932707092.6621826
183,932001713.8808707
184,931274896.0034904
185,935914758.392216
186,935280511.7472397
187,934274721.210101
188,935762637.2936989
189,935214732.5708332
190,936830628.7077777
191,939303362.8624377
192,936570247.6148906
193,933494779.6025137
194,933331686.0765803
195,930276907.9339169
196,929801660.2159634
197,930365868.1845342
198,924589957.5774546
199,923179634.4004378
200,925017003.0733091
201,929348156.1523248
202,931849111.5627487
203,931519190.3269984
204,930246971.2121187
205,929969808.766506
206,925006866.5215868
207,922253724.7319456
208,920053021.0901736
209,924056794.9087093
210,923885954.2655619
211,925477129.6514442
212,925092692.2312516
213,924996005.3192059
214,924684682.8310907
215,922184361.5342267
216,923008864.4984299
217,922921429.596046
218,919593812.3025777
219,917539024.5847015
220,916677322.328133
221,917979591.3763064
222,917947245.0629048
223,915055570.1035688
224,913534463.5308267
225,908451472.9403484
226,908319327.7653494
227,913167511.5292276
228,915277874.6928512
229,915237284.1212105
230,917806888.1791469
231,918495753.7553638
232,918036205.4761171
233,919156565.842818
234,919168469.8390458
235,917878663.9212978
236,920999105.6958729
237,923185702.910447
238,925667594.1503861
239,925641079.7128959
240,923553483.1985624
241,923324857.9069061
242,925137325.8146863
243,928103478.7135051
244,925965259.7148335
245,925180671.7230638
246,926311097.749985
247,926130376.7355188
248,924041896.8943003
249,925803393.2991222
250,923601870.0021526
251,921747414.1593465
252,920846825.73038
253,921117058.6485658
254,924019724.1218684
255,922720382.0448272
256,921254007.6532645
257,915860946.3814852
258,919909129.4897238
259,919838961.4518759
260,920746617.0564936
261,918720425.3762996
262,916726448.2019043
263,915782837.5383382
264,911747242.8978041
265,914243224.3480308
266,917497658.9388229
267,921268564.6354439
268,921537109.3546257
269,921150393.9313335
270,919721099.7738942
271,915004110.0028284
272,917360914.4278573
273,921212938.7697754
274,919637368.8006847
275,920094681.5179834
276,919972521.2520785
277,918104338.9809277
278,916279346.3038522
279,919924658.7946699
280,919847174.7904352
281,922198766.9062963
282,923849920.8163613
283,926808898.7596582
284,925341802.2416556
285,922036981.1283317
286,922501100.478222
287,924077439.2991843
288,924409051.1434834
289,924710543.4379317
290,922722148.5360452
291,918661615.4377825
292,921063474.117592
293,923953110.7915194
294,927682680.4947257
295,924204132.3933455
296,924503265.7824523
297,921110821.3194532
298,916088478.53563
299,916153533.342117
300,916028316.4582036
301,918900130.7294204
302,921653205.3039699
303,923060612.2077957
304,918987481.2760143
305,916846635.4171885
306,918076138.3027126
307,923088184.5145804
308,922965610.0793953
309,921410011.3048583
310,924541945.2284938
311,925097257.7344168
312,924897884.1500745
313,925429005.9392611
314,926993563.5990769
315,922722876.5288532
316,921711475.1655868
317,920114919.0542407
318,920869485.8265307
319,922479748.6093853
320,924649652.807056
321,923356335.9133726
322,918769761.7370021
323,914584045.470098
324,911642773.6151412
325,914067001.6723875
326,916305479.2099802
327,914746789.1364129
328,912664196.5524952
329,914772238.456012
330,914959065.9779338
331,913988047.2050556
