frame_id,total score,0's score,1's score,2's score,3's score
39,508455.408235656,116992.39965044036,89591.52130386172,140403.56509804385,161467.9221833101
40,510077.5204528619,119071.86170185066,90301.13730310401,138959.4486920242,161745.07275588298
41,513121.27755321044,121698.45355504625,91471.99545791776,137829.16993297817,162121.65860726827
42,514927.4769724513,123146.68575445909,92436.54322721592,136992.4487406533,162351.799250123
43,517217.78056388895,124726.84194690794,93772.22856989072,136236.8675520956,162481.8424949947
44,518817.53308666404,125814.14539336193,95025.24941985715,135406.24213678096,162571.89613666394
45,520779.6988802105,126908.12350835241,96562.27991859755,134793.6519441613,162515.64350909923
46,523112.1728326102,127924.71112501572,98373.270781244,134471.80454141926,162342.38638493116
47,524885.0514104129,128725.24549535551,100099.67082051621,134204.07214618483,161856.06294835632
48,526368.286117232,129049.9292827103,102260.44484937604,133734.30591362898,161323.6060715167
49,527227.454464664,129470.38577162754,104266.30786539642,133094.83001436613,160395.93081327394
50,527258.2993769046,129497.12052627186,106199.899399634,132428.28463207025,159132.99481892856
51,528498.7573900378,129432.04799288,109028.13474313842,131873.4291638185,158165.14549020075
52,527637.094918597,129045.16761604689,110556.07952828029,131056.97932918792,156978.86844508193
53,527318.0350654791,128728.0114958584,113458.6600625734,130198.95198552244,154932.41152152492
54,525998.4023762237,128056.0082438587,115262.97538721088,129353.5607444076,153325.85800074652
55,524297.526239608,127391.09996554111,117743.34388135214,128198.16066773023,150964.92172498445
56,522105.5054277308,126395.19648262522,120644.57299131114,126876.35935130766,148189.37660248677
57,520947.87990533456,125696.93306993115,123189.22908868035,125977.36893969832,146084.34880702468
58,517605.25855998957,124712.56884477734,124188.32594414522,125239.81264229381,143464.5511287732
59,516262.3305163745,124731.11602282249,124018.18259342744,125345.42004921903,142167.61185090555
60,514969.7078161622,125064.66233841614,123986.02928037457,125367.45081627493,140551.5653810966
61,512870.8262615649,124622.80539820848,123864.16289675137,125296.12376847495,139087.73419813009
62,512661.62195336114,125365.23041549786,124450.93380747158,125222.18093950448,137623.27679088723
63,509461.50875335507,124655.49622375982,124521.56531090809,124483.95028691468,135800.4969317725
64,507516.79599029745,124819.23494046865,124007.71293981755,124418.40486998307,134271.44324002814
65,505805.02809077164,124709.11546550413,123936.55336672119,124513.18205061274,132646.17720793356
66,504097.864695492,124722.2262740866,124210.16098108208,124235.53629448691,130929.94114583646
67,504469.344423738,124707.21278208388,123947.25853173884,124226.56709981603,131588.3060100993
68,504255.71324137435,124614.51001971075,124111.98729049701,124087.67551683777,131441.54041432883
69,504398.692306331,124616.43356669668,124097.74786518108,124180.12170021293,131504.38917424038
70,504782.80593585304,124598.3641993663,124239.4026947516,124508.35599068254,131436.68305105262
71,504147.4409311239,124645.5948034967,124169.33158987854,123892.29627709757,131440.21826065108
72,505599.49510429054,124724.9497201743,124758.36757316047,124670.30546645453,131445.87234450126
73,505072.02580412524,124544.33042696891,124454.56443457046,124570.52900964195,131502.60193294386
74,504352.76944418094,123983.66301902231,124144.51730035972,124679.99152889848,131544.5975959004
75,505256.0344343978,124185.55453870367,124293.84027066643,125334.54566443096,131442.09396059674
76,504642.4713124419,124563.46706979808,124479.59499406158,124034.55571967996,131564.85352890234
