frame_id,6's score
0,0.0
1,0.0
2,0.0
3,44486.603883250296
4,45043.95515964168
5,54605.070870696414
6,55786.92181831919
7,56400.674446571975
8,57564.31008441924
9,58089.29686740636
10,58656.32397381218
11,59823.6581315057
12,60410.945947497195
13,61594.921182362355
14,62189.783661203306
15,63378.00464053056
16,63980.18113941265
17,65182.250212781626
18,65819.61370292763
19,67089.77013847692
20,67775.71999308078
21,69179.01338937045
22,70043.30377691207
23,71861.73897327945
24,74583.78132822334
25,77111.9279364482
26,80039.95522487014
27,85574.44177986712
28,89984.84932127953
29,96487.82790764625
30,104680.10503886102
31,113272.33152381172
32,122983.2716778548
33,132812.06993997894
34,139126.21397731683
35,145186.51573299902
36,153705.69737145572
37,158748.34262988833
38,165421.56037298
39,169176.827804501
40,172934.54468958854
41,176538.9136744121
42,179279.78031379916
43,181727.91003314845
44,184188.27186775926
45,186534.20008070613
46,188647.4073459958
47,191033.5967504491
48,193239.00723376713
49,195733.5848654692
50,197540.87540720456
51,199675.11273605633
52,201776.683670408
53,204122.76374567085
54,206355.34465184354
55,208523.79642193438
56,211132.0634207842
57,213397.37755238774
58,216036.0656428109
59,218524.54063926675
60,221284.72906993204
61,223931.85913597385
62,226348.34820464507
63,229707.47666023913
64,232427.10740409073
65,235129.4870344305
66,238249.49474079796
67,241469.69004767248
68,244140.11352898428
69,246973.657993841
70,249908.88134219486
71,252979.42706741014
72,255589.00534509734
73,257745.15789250832
74,260530.62814589837
75,263095.5298471931
76,265949.5647350084
77,269050.9111362009
78,271212.1410547435
79,272700.3876316676
80,273071.3285035071
81,273415.439000754
82,273551.91438880446
83,274687.9365852967
84,275425.7448484239
85,275729.8550482512
86,276735.7664397452
87,277505.98066215985
88,279100.84336326725
89,281039.7084916464
90,281917.90912747267
91,283916.52405064175
92,286237.4639042577
93,287427.7596333525
94,289662.7879383748
95,291056.4019150496
96,293456.4431352331
97,295253.521354627
98,296554.1718163391
99,298507.5865765734
100,299533.50661862723
101,300868.0353887929
102,301788.93251241214
103,304464.87015353655
104,308673.43854603404
105,316819.0643817236
106,330343.2465559212
107,346762.69900475827
108,362457.03552606626
109,372812.5680271206
110,378042.9455258277
111,380564.78268475656
112,382261.0891743827
113,383064.20828411024
114,384140.73302325566
115,384959.43421779573
116,386219.6943631339
117,387153.9671055211
118,387975.5468772226
119,389114.81407905597
120,390617.776168204
121,392266.2501244035
122,393073.9815753991
123,394686.90834160085
124,395245.5099391828
125,396055.1003423415
126,395954.10525295744
127,396186.9691997769
128,397438.0375504508
129,397003.5161079583
130,398659.23941069376
131,398170.7161322507
132,397540.950185952
133,398193.8585360479
134,398490.032878118
135,396405.33974671643
136,399208.4460500649
137,396866.4759767513
138,398079.281849117
139,397697.8732699695
140,398310.40244160115
141,398319.32457373966
142,399066.42911172356
143,396589.35002029507
144,399739.00262918684
145,397421.60514345916
146,398052.8329297544
147,398679.30594954157
148,399465.86495181266
149,398215.22216250794
150,401715.66063352255
151,400993.52603656624
152,402150.01461421064
153,402603.9802088125
154,403720.8232192894
155,402718.83344701264
156,406034.42499315395
157,404708.62119607837
158,406642.8604270364
159,407267.16207057354
160,408002.2751890226
161,407211.0570419965
162,410424.58922552736
163,408462.1974374029
164,410256.0623148394
165,410608.11267605633
166,412432.5453036752
167,410451.4878888972
168,411707.7551242666
169,411653.56781575945
170,412032.86066261027
171,410682.84002624464
172,412997.76645303477
173,411665.95406625
174,412078.1974442383
175,412078.8263422153
176,413151.9735496914
177,410413.48112303356
178,413479.01311221847
179,412228.7575993274
180,411925.2212330179
181,411760.29269586375
182,413370.4115279752
183,410751.8267900443
184,411854.2301959353
185,411771.8228213135
186,412295.62155609566
