frame_id,total score,0's score,1's score,2's score,3's score
30,3148232.202486832,948787.6283433763,830904.7935471958,1368521.7810470185,17.999549241275965
31,3154088.6966497405,946879.9057428286,828963.2524833378,1378227.5388743458,17.999549228407886
32,3151365.8773659714,947666.9013452778,828009.4129644386,1375671.5635070489,17.99954920608415
33,3153291.862222065,952313.2562264777,827563.675734495,1373396.9307118775,17.99954921468283
34,3153864.450031691,955365.327435788,827644.4414270226,1370836.6816196686,17.99954921183014
35,3153967.685101646,957730.0320890893,828066.6661211578,1368152.9873421893,17.9995492097057
36,3156134.1443438786,960503.5159742023,829152.5835053393,1366460.0453151169,17.99954921974927
37,3156207.8745538853,962881.9064838017,830483.2742433553,1362824.6942775152,17.999549213224704
38,3155839.52517734,964407.8074728779,832455.1979414019,1358958.5202138475,17.99954921238848
39,3156550.1616102215,966468.9844941951,834277.7559947703,1355785.4215720382,17.99954921789529
40,3156081.4353025183,966726.0709949675,837098.3290549814,1352239.035703337,17.999549232167446
41,3159326.1760398764,968805.8329585652,840539.2660229218,1349963.0775091555,17.999549233972118
42,3157715.5466442364,969164.000504634,843798.231068608,1344735.3155217674,17.999549226909213
43,3158258.1060329387,969683.5060364547,847260.3277436226,1341296.272703634,17.999549227433313
44,3159576.305062452,970512.0239189267,851135.1977248527,1337911.0838694514,17.999549220865283
45,3159689.7395727835,969810.512696309,855162.0919603911,1334699.135366862,17.999549221628154
46,3160199.1035698075,969371.2555820656,859622.3912582188,1331187.457180299,17.999549223876166
47,3160718.290652577,968674.1253365374,863531.9516642139,1328494.214102605,17.99954922078092
48,3161749.4018127345,967033.2120617701,867834.2729349505,1326863.9172667987,17.999549215060597
49,3162802.846228087,965549.2098998853,871925.6248569578,1325310.0119220363,17.999549207716086
50,3162893.9102361044,966937.4442128019,876282.6243563147,1319655.8421177345,17.999549253659954
51,3163586.472320139,960671.1517858851,880115.3610548042,1322781.9599302318,17.999549218020537
52,3163405.862650387,956876.9805156661,884420.409041276,1322090.4735442211,17.99954922350991
53,3165054.7954241843,952597.703899792,890042.8294828272,1322396.2624923394,17.999549225706748
54,3163356.425429414,946931.2452015206,894501.2221728417,1321905.958505838,17.999549213969065
55,3164515.001983574,942057.5412827433,898503.7941235014,1323935.667028112,17.9995492171327
56,3165359.521560777,935064.7074088384,903338.5159337138,1326938.2986690083,17.999549216380146
57,3166057.9192298753,926441.7424215088,908465.4611095004,1331132.7161496226,17.999549243861665
