frame_id,4's score
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,20622325.61215538
8,20843198.95408433
9,35289247618.7836
10,35267880153.06871
11,35594080307.34671
12,36173231538.7552
13,36469583775.245735
14,36903680215.07512
15,37275370568.54889
16,37819940740.58487
17,38193259131.919304
18,38596575732.04374
19,39178553546.238655
20,39457832793.20514
21,39875646067.96081
22,40111884603.26881
23,40469762123.81651
24,41002364384.75983
25,41230877652.50333
26,41542273945.884544
27,41884457778.91283
28,42068628947.62116
29,42560188751.57588
30,42906448380.6707
31,43124764898.69164
32,43472158421.04928
33,43972034959.51896
34,44218260659.95419
35,44561583026.73201
36,44989984187.336555
37,45230107240.0338
38,45651277269.37239
39,46127029361.19601
40,46628429131.900955
41,46961844819.39377
42,47406911213.02301
43,47909726919.06258
44,48061476055.682236
45,48712541558.03049
46,49161066701.06435
47,49581980811.41753
48,50018856299.58446
49,50441051030.74972
50,50839143478.867424
51,51302923302.49453
52,51891351282.87923
53,52361160000.617615
54,52493915573.77801
55,53150208099.85285
56,53502010953.628235
57,53716328010.8236
58,54255886760.981445
59,54636039525.29168
60,54883443127.72824
61,55449063430.084724
62,55703462602.51544
63,55995289784.672134
64,56086150049.02115
65,56384054483.06688
66,56674163703.59285
67,56751220695.14157
68,57154651017.4715
69,57271517476.61496
70,57386715058.27213
71,57699121732.05895
72,57713895805.7225
73,57741358208.97365
74,57738185861.74746
75,57825834097.44618
76,57761013342.897385
77,57678216932.204254
78,57704570885.75934
79,57637371030.752235
80,57529311086.266
81,57367988757.00283
82,57230592569.28973
83,57013885098.28444
84,56800122525.87642
85,56525256643.20283
86,56423476891.64653
87,56256449926.49194
88,56010932681.91167
89,55847700473.13846
90,55676096072.96269
91,55371831835.89354
92,55109708672.749695
93,54951450308.774185
94,54790039275.4969
95,54678296894.69113
96,54456261042.8685
97,54318273604.941826
98,53996111111.48458
99,53813732905.59202
100,53614114562.92443
101,53543542669.43593
102,53325659010.573425
103,53103666837.870445
104,53052776263.58687
105,52950022504.25519
106,52867143419.27502
107,52797398934.578064
108,52670573299.68362
109,52536439386.93532
110,52519316258.51898
111,52505565156.41658
112,52230023706.74198
113,52393376231.95325
114,52427996923.047134
115,52422810233.64792
116,52437768315.70921
117,52207021265.20458
118,52137584060.812836
119,52133685591.079994
120,52338015219.480354
121,52146579344.89769
122,52030481284.8192
123,52044226110.334305
124,52092101288.637146
125,52109521576.11877
126,52170706505.80468
127,52130960194.59778
128,52093414130.28577
129,52209271958.4982
130,52357634273.65785
131,52377807533.30703
132,52125193354.47803
133,52231090461.898155
134,52214293762.08459
135,52175397397.498
136,52302981906.196396
137,52406530989.02687
138,52440853352.00208
139,52289862322.268715
140,52357493128.22098
141,52330015225.381454
142,52534341192.340485
143,52385362383.73755
144,52272082309.923004
145,52347195413.882515
146,52388902957.20117
147,52392516894.0531
148,52414432714.68601
149,52318107398.12749
150,52399662350.04846
151,52403317989.83717
152,52407744933.94545
153,52363725941.423996
154,52323337117.27908
155,52367544401.245445
156,52232980271.92984
157,52215878887.015366
158,52201609674.53484
159,51985718191.94377
160,51978083302.21698
161,51946351817.31073
162,51749985893.89052
163,51711959139.5343
164,51556539679.07825
165,51465419566.90103
166,51384946220.44941
167,51399934829.28515
168,51252274354.91597
169,50975797868.67171
170,50848942776.474525
171,50760092091.470375
172,50468937164.6782
173,50255787254.176056
174,49821286481.19555
175,49696378044.49158
176,49460740273.110565
177,49157519126.67087
178,48920005642.606964
179,48287873849.80527
180,48276622764.77804
181,47753376203.61648
182,47328510926.390625
183,47292199295.38942
184,46757039228.04222
185,46401437153.931305
186,46116308405.22406
187,45557831168.42996
188,45007198982.232574
189,44819132595.345535
190,44246211972.18164
191,43992342561.600876
192,43477359146.028694
193,43188050419.76743
194,42922075141.27778
195,42332272701.68686
196,42242792606.642235
197,41755519236.57488
198,41796945046.03368
199,41625444043.243286
200,41540392817.153244
201,41320686254.00644
202,40993780929.39963
203,40718491193.82804
204,40400208161.96641
205,40314369660.16856
206,40041724678.44725
207,39815477656.26804
208,39937705684.71931
209,40839230646.80431
210,43544611855.15592
211,43315689484.06677
212,43224690703.13947
213,43037761666.27955
214,41443635562.83184
215,39127854891.867386
216,43065153861.76034
217,42973667456.438225
218,42878838490.5092
219,43174620016.687645
220,39622782987.00105
221,42029984775.82446
222,39334121749.55126
223,43378892106.547386
224,43296473118.40693
225,43657200025.20709
226,40125123022.05794
227,41656980459.32468
228,38878588804.68974
229,43873238882.625496
230,43686352469.872986
231,44140043077.15853
232,44078957250.944
233,41405509883.44716
234,40522341152.033646
235,44490787481.712845
236,44584912543.26092
237,45024961191.80965
238,45108172326.58463
239,40343138070.335014
240,38830301066.16692
241,43864748363.86573
242,46080411757.94357
243,46462063175.507065
244,46267691329.99504
245,39352195821.04837
246,38838168638.5916
247,38852011128.6251
248,46781077587.83096
249,46662865609.86233
250,46846534061.48685
251,45846018906.877525
252,38811572497.428505
253,41980920168.05204
254,47628847982.91
255,47527124516.40311
256,47808602813.31679
257,44427340587.3055
258,38777885745.64339
259,40816283383.07685
260,48602672273.22725
261,48385741130.58339
262,48743242566.5031
263,45375109350.3134
264,46324562067.24968
265,38848666156.79734
266,49094848308.49779
267,49122121569.8603
268,49781057417.4112
269,45991070379.84008
270,38877726999.17467
271,48418081909.21165
272,50111265469.73866
273,51163337634.27256
274,48196960794.477615
275,45087265246.57106
276,38837360337.89199
277,51745203214.60774
278,51637417503.1626
279,51848851520.9372
280,45447171751.186935
281,38738527268.223854
282,52073127956.43461
283,52230966636.394775
284,52787851729.35695
285,49240794333.44456
286,47352684413.73635
287,38959913010.96299
288,53053134640.34259
289,52946094824.78499
290,52828713311.32022
291,49364113627.632286
292,47308481441.08251
293,39865515663.74157
294,53516568311.51027
295,53100553208.16577
296,53536830670.02179
297,53273423244.00897
298,41315549085.51917
299,38704765375.696945
300,42171939289.28635
301,53046585659.48824
302,52389513053.710785
303,52551083730.73462
304,38616884364.106964
305,40163544697.89914
306,42868962702.17666
307,51926341179.67415
308,51847317532.89386
309,50423339883.134796
310,50855524702.31963
311,38728061757.60411
312,50441072141.06514
313,50492061512.55373
314,50627338459.880005
315,49591674031.04855
316,46639300936.25787
317,42906548502.41496
318,38789839663.36276
319,49083630953.8356
320,48212621303.84681
321,48369548302.919365
322,38844249508.38355
323,38749231018.96037
324,38765130142.099236
325,47705775490.02408
326,46800063624.374535
327,46868275825.29699
328,47339620162.02298
329,38827485053.95919
330,38826017368.86391
331,46596004809.34585
332,46242137444.24489
333,45726701835.484344
334,41565428873.12889
335,38663517938.874825
336,42803927216.41064
337,45591562479.90021
338,46051944459.41556
339,45412512639.423515
340,42322023136.72514
341,41904208090.84213
342,38822770338.51762
343,45824736871.03964
344,45054995384.06302
345,45101694488.22405
