frame_id,6's score
0,25045281544.140163
1,25821599734.06432
2,64633070751.0199
3,66219156251.04482
4,67604103845.2593
5,69998460477.22623
6,71444047038.26656
7,73564859138.47841
8,75062595277.71272
9,77262731645.47496
10,79027683145.76402
11,80879199561.33687
12,82658628284.0805
13,84896460032.37482
14,86982432963.5357
15,88758057113.90063
16,90161326383.45735
17,92352408626.77382
18,94389832617.96092
19,96404718285.7539
20,98562203159.92233
21,101054062239.04346
22,102964517616.44011
23,105260206423.41907
24,108009566929.6434
25,109756644475.55441
26,112600459774.84915
27,115229666228.75111
28,118021825111.6243
29,119821772622.41606
30,123162157481.85388
31,124519081457.42459
32,126691987937.61533
33,129855081900.76587
34,132525091732.95573
35,135122243738.2732
36,136787758821.33905
37,139540860694.1725
38,141751667797.36066
39,144473910994.25928
40,146110461510.78326
41,148756356600.67474
42,151365142522.12903
43,153592896627.7897
44,155680345770.33054
45,158207236303.03195
46,159551076624.81033
47,162202366293.2523
48,163853970727.78317
49,165907782955.07465
50,167901441422.2913
51,169018494014.3972
52,170798209338.95813
53,172488254307.91788
54,174526144646.0849
55,175415268178.31088
56,176857442138.59436
57,178529729596.26678
58,179760898770.22406
59,181645868363.09677
60,182682637934.0272
61,183713544151.0345
62,184826602492.506
63,186240622126.63467
64,187083858842.52838
65,187613074078.4123
66,188373234061.3771
67,189837252017.28513
68,190606898329.8055
69,191570214277.3927
70,191920189182.1439
71,193259281151.12003
72,193884639895.33835
73,194442207268.5279
74,195908845938.3187
75,195954783150.9127
76,197888507654.72
77,198008371032.4052
78,199044070487.66452
79,199597396003.79147
80,202039461779.7398
81,201790104023.61026
82,201844134411.96127
83,202458840751.30447
84,203181611347.72922
85,202998875879.6815
86,203894298573.24496
87,202437622234.5199
88,203833467745.10913
89,202350936046.57645
90,203795018086.4199
91,201607241410.2469
92,204597398950.75912
93,202355288734.21063
94,203308375946.46497
95,200712568533.60648
96,199326853523.75015
97,198274797355.7954
98,197323740916.24347
99,191331702766.16013
100,199571987255.62427
101,199240395796.0183
102,196336135805.32504
103,188856601590.18948
104,186285511952.10123
105,175302361077.4225
106,178746130341.5733
107,171614830466.22263
108,168122598149.3122
109,162438828491.54947
110,161307543303.23538
111,151365956253.211
112,147548875342.55536
113,146840531916.65973
114,150245157499.9837
115,146874069612.49814
116,160008380807.20114
117,156631245505.04465
118,165609805184.8196
119,157465208117.87628
120,147765383170.4922
121,154247453525.3891
122,220042228186.3821
123,219652614105.30182
124,218145605367.84894
125,217302175440.9518
