frame_id,5's score
0,0.0
1,0.0
2,0.0
3,17512688.938980106
4,17700238.304210905
5,20307252.218300655
6,20574495.243816607
7,20854091.431817595
8,21100307.71247822
9,21399276.280200295
10,21681727.60000018
11,21933070.2195413
12,22285226.713905044
13,22504446.491487518
14,22854825.066519506
15,23101133.251534197
16,23415922.561400656
17,23646643.41448567
18,23893069.56697504
19,24208561.05345802
20,24393001.60529025
21,24619648.08340165
22,24964806.974995084
23,25190877.75209003
24,25417739.74621628
25,25705374.146976806
26,25985125.8889996
27,26239871.894374512
28,26530221.212002527
29,26822107.069578625
30,27046872.453060485
31,27341607.961603317
32,27639922.531929184
33,27880436.507364787
34,28101036.86219243
35,28398043.74626282
36,28705714.663021415
37,28995829.539727107
38,29278260.374749087
39,29586853.336375535
40,29793105.56434225
41,30154440.33567691
42,30376500.408801604
43,30667838.372231483
44,30964507.202176362
45,31172235.114210837
46,31477281.291261114
47,31767676.32008056
48,32062833.627666973
49,32364994.215079077
50,32565177.260703646
51,32937574.32678535
52,33221315.02666979
53,33527076.249041267
54,33808568.613422625
55,34180263.63375903
56,34344507.076510444
57,34734341.595557205
58,34996427.144618645
59,35186494.077759326
60,35452944.488331124
61,35884473.11698885
62,36158810.88800764
63,36443221.95123713
64,36710528.727243766
65,36992419.10821825
66,37244486.98415464
67,37526303.39222058
68,37809332.47451561
69,38066144.65843482
70,38356286.75638662
71,38565844.17688258
72,38844474.32455305
73,39198359.19656365
74,39475171.670708574
75,39728323.59757387
76,39985432.19317882
77,40260332.62410157
78,40541960.05860036
79,40827930.353719085
80,41013136.598785326
81,41291005.00524783
82,41579887.517614774
83,41848111.30757177
84,42038414.065878205
85,42312801.22662564
86,42648310.187436484
87,42837532.78151495
88,43092502.56039498
89,43336568.2598483
90,43582466.58352933
91,43808009.64598887
92,44012566.78568291
93,44285519.16317044
94,44568006.55709578
95,44786794.028000794
96,45000267.2357103
97,45202060.31585668
98,45446031.45862525
99,45619262.163886465
100,45929225.19040458
101,46199235.13147336
102,46431894.526877604
103,46634843.51600906
104,46802896.43153309
105,46965657.97544696
106,47197877.889302395
107,47385930.93669338
108,47560026.75857329
109,47740868.86290313
110,47942677.84758286
111,48111356.573555306
112,48298667.36679884
113,48429509.384580664
114,48587411.685440406
115,48814223.58343621
116,48943066.9835788
117,49095280.82208953
118,49238488.25613688
119,49373461.74782595
120,49519480.84066331
121,49648064.76787132
122,49778254.92203522
123,49900987.681150146
124,49976798.374286056
125,50118902.17976217
126,50253230.76832041
127,50360667.63412342
128,50488994.31523957
129,50565187.52141662
130,50627376.380754426
131,50680198.71715441
132,50767071.457751915
133,50847790.29780509
134,50910944.02610688
135,50971754.202665895
136,51019967.291074194
137,51157975.98608238
138,51216513.990979195
139,51261110.37523907
140,51356360.79006
141,51396110.6831464
142,51464488.87283482
143,51538902.42552807
144,51602070.65184827
145,51665565.51349486
146,51773142.18626148
147,51836134.606042475
148,51898028.02005416
149,51961679.03752108
150,52029056.99901525
151,52094830.0323738
152,52152436.91641886
153,52207504.07405892
154,52278296.83701907
155,52336197.60000569
156,52433340.3758288
157,52449452.412192136
158,52505681.75970333
159,52597007.763054274
160,52652562.78329865
161,52706849.400376596
162,52763441.41488811
163,52813651.55403631
164,52874707.60374814
165,52966804.97497058
166,53019560.252154656
167,53068691.06561393
168,53114430.46578061
169,53154094.734836064
170,53198590.99643222
171,53241213.629891954
172,53277141.72474382
173,53305770.74782142
174,53329799.237297386
175,53355631.24612188
176,53375128.97364578
177,53399614.91058871
178,53414771.61965508
179,53416014.76099377
180,53461543.37663714
181,53497080.17949055
182,53528951.59296385
183,53528152.064942986
184,53541095.895755544
185,53554385.78260344
186,53570903.52438402
187,53597735.45316357
188,53610459.58263023
189,53625971.83611951
190,53626232.23383326
191,53626607.07507938
192,53623465.98650649
193,53636825.50204822
194,53645986.835950166
195,53668137.93910435
196,53668916.279911876
197,53667599.5349102
198,53701437.253508985
199,53717539.39709321
200,53759037.34953928
201,53776969.69714764
202,53800616.84013942
203,53830159.23170298
204,53859277.512264356
205,53888703.05374765
206,53921055.556773685
207,53938088.97588639
208,53958197.49954288
209,54007343.177962765
210,54042013.52441578
211,54076438.05867078
212,54122277.87397028
213,54150633.24059118
214,54184476.960230485
215,54232624.381692156
216,54280372.89646222
217,54331402.65471948
218,54385577.22139264
219,54413592.55383407
220,54459667.059958555
221,54500646.36090627
222,54552056.88070501
223,54607345.21297247
224,54658733.68675336
225,54681819.957152456
226,54728053.000880435
227,54766960.72349789
228,54807572.535522334
229,54839116.87551863
230,54879441.87906314
231,54924833.3635061
232,54972924.82067858
233,55021519.89634794
234,55065890.04229819
235,55110154.466095954
236,55142231.74004775
237,55174031.10850237
238,55238034.9072382
239,55277739.36568214
240,55310372.17533876
241,55332429.383705854
242,55373987.93462042
243,55412743.83089764
244,55461899.52996718
245,55504044.8178388
246,55537718.01174374
247,55572674.567676894
248,55599786.20138665
249,55643831.41995945
250,55678816.03583112
251,55720063.080137536
252,55744654.1668475
253,55773406.07198267
254,55813574.55866386
255,55849595.208998114
256,55876822.215170495
257,55902387.001566686
258,55926338.280125916
259,55961460.136224136
260,55997928.936998986
261,56023123.647320025
262,56045101.02393901
263,56057581.48719141
264,56089316.49851534
265,56115781.75117248
266,56137398.277223915
267,56152537.39513552
268,56155605.492659196
269,56176502.08876501
270,56195651.94213753
271,56212521.353150986
272,56240807.479248665
273,56240241.62830182
274,56245603.434789665
275,56253181.74524323
276,56279436.1177184
277,56306131.67871203
278,56326071.79836877
279,56343773.63876153
280,56364997.48485692
281,56374731.56815689
282,56398542.090820044
283,56419643.86891491
284,56438847.61443844
285,56454054.70091366
286,56465514.532730155
287,56476058.906701505
288,56501342.89381528
289,56519405.57157779
290,56519750.67734815
291,56526906.48487294
292,56537613.29726673
293,56551494.43535984
294,56552226.82044668
295,56571176.21769876
296,56587574.15527568
297,56588565.77037135
298,56580825.90075803
299,56592874.04939093
300,56600998.537958406
301,56611839.55335967
302,56615188.553271696
303,56615221.564014725
304,56614520.85399997
305,56620208.74335148
306,56620326.000960276
307,56624226.18747842
308,56622871.86805818
309,56621500.72929662
310,56611124.38942616
311,56632776.746605165
312,56619425.32588759
313,56636951.89998225
314,56625042.82508161
315,56625251.47735901
316,56612507.56294209
317,56617515.73139369
318,56622886.12076968
319,56628828.528610095
320,56633281.22631486
321,56628039.69033492
322,56610305.49918485
323,56618173.41949295
324,56620636.8414511
325,56612927.3499023
326,56616837.06305207
327,56609869.412623756
328,56603886.28565865
329,56603997.21215912
330,56595546.147074044
331,56574321.33689554
332,56570574.888011426
333,56594751.405023105
334,56571689.41672507
335,56564832.0655253
336,56559558.32894698
337,56567923.02565044
338,56570595.31424239
339,56571104.418348044
340,56564196.75946678
341,56541393.40347421
342,56550487.85628086
343,56550457.27460977
