frame_id,0's score,pos_x,pos_y
0,0.0,3.0,3.0
1,0.0,3.0,3.0
2,0.0,3.0,3.0
3,0.0,3.0,3.0
4,0.0,3.0,3.0
5,0.0,3.0,3.0
6,0.0,3.0,3.0
7,0.0,3.0,3.0
8,0.0,3.0,3.0
9,0.0,3.0,3.0
10,0.0,3.0,3.0
11,0.0,3.0,3.0
12,0.0,3.0,3.0
13,0.0,3.0,3.0
14,0.0,3.0,3.0
15,0.0,3.0,3.0
16,0.0,3.0,3.0
17,0.0,3.0,3.0
18,0.0,3.0,3.0
19,0.0,3.0,3.0
20,0.0,3.0,3.0
21,0.0,3.0,3.0
22,0.0,3.0,3.0
23,2.830298627809056e-07,3.2259999589623654,3.0301333461303104
24,4.6317292344668907e-07,3.4519999178379903,3.0602666929111755
25,1.2172542899363821e-15,3.6300139852477145,3.2027271849931775
26,1.20345574327537e-10,3.83797262997981,3.2962001868770914
27,1.83694904837669e-09,4.050032743526981,3.3799528479832355
28,8.460732244599942e-09,4.264134555805889,3.4583391604292704
29,2.4649461354370414e-08,4.479468757572613,3.533273675504019
30,6.1207798336358e-08,4.695770986651643,3.605366294373381
31,1.305278017762129e-07,4.912773703951438,3.6753221424813476
32,2.5452774592254177e-07,5.13032820909561,3.7435426474008695
33,4.718235768113505e-07,5.348359373931438,3.8102240628052533
34,3.133608526060996e-05,5.575355647026844,3.8315944161199793
35,4.5920775904997574e-05,5.802351901286098,3.8529649695116897
36,1.7577891984802094e-06,6.020297695943695,3.9199248873063577
37,2.986122107575912e-06,6.238662724972877,3.985504717262562
38,6.745655375676885e-12,6.35884138110083,4.179259951027432
39,3.526792344753454e-11,6.482687513119948,4.37069175503059
40,2.6679170069585177e-10,6.612323513922655,4.558251098428568
41,8.374710153960395e-10,6.7444189520883,4.744086496606165
42,3.3454792906785386e-09,6.881343905660042,4.926392714518162
43,8.510983094743782e-09,7.020024185756036,5.107367242870902
44,2.490755171655237e-08,7.160294360196422,5.2871122794156244
45,7.863396412749793e-08,7.303573270134624,5.464468288524198
46,1.6962693163338527e-07,7.447658243489456,5.641170072480494
47,3.583297472306147e-07,7.592479889637931,5.817268598331354
48,7.555087824701472e-07,7.73841852639975,5.992442552731265
49,1.8172012984311688e-06,7.884601642443603,6.1674125403968905
50,3.577042094830022e-06,8.030958274101662,6.34223741382658
51,8.324981858017113e-06,8.177579564992532,6.516840383610873
52,1.5897750580448706e-05,8.324250469233831,6.691401679003178
53,2.9953322183784954e-05,8.470984020582158,6.865910317496257
54,6.603631364957501e-05,8.617663739957711,7.040464205805595
55,0.00012116883686736836,8.764354528779709,7.2150087917278745
56,0.00021955659073490398,8.911055971151505,7.389544423637335
57,0.00039276017382685853,9.057771596623496,7.56406813332276
58,0.0008141211346694954,9.204521252263335,7.738563229441788
59,0.0014173555286235992,9.351275912908372,7.913054116249553
60,0.0024378646533376722,9.498042669916245,8.087534828757818
61,0.00414160267372133,9.644822293888302,8.262004717238957
62,0.006949591947693332,9.791615011933574,8.436463588979208
63,0.01151756336161054,9.938424886992683,8.610908023069634
64,0.018844020661807327,10.085252066811016,8.78533789226237
65,0.030114247896628296,10.23194818402658,8.959877999956499
66,0.048629974271781,10.3788638303683,9.134233363682409
67,0.08777119232880617,10.525882701354337,9.308501695785493
68,0.13621905852407692,10.672984903414129,9.48269969275779
69,0.21027752580558856,10.820223008075526,9.656782835352699
70,0.3209666455075554,10.96754882036928,9.83079175762965
71,0.500076329547067,11.11444822029064,10.005160809650771
72,0.7630762110623923,11.261866336046195,10.179091540538334
73,1.1628481684192429,11.409340200503317,10.352975005255605
74,1.7021240155964634,11.55684822122804,10.526829495625783
75,2.515363651292552,11.704391130307892,10.700654378712915
76,3.71011282149164,11.851969708510275,10.874448979479922
77,6.104553342690397,11.999621133640352,11.04818169561899
78,9.110245980668854,12.14730978911522,11.221882763675653
79,15.035402701731996,12.295036561654372,11.39555141564015
80,19.671383340514563,12.44276335002453,11.569220054138407
81,27.3314509969018,12.590530290971042,11.742854529872087
82,39.1079924403774,12.738379451889994,11.916419000935614
83,52.84251812206803,12.886270742257988,12.089947575623732
84,67.9199020548021,13.03420530428912,12.263439262331358
85,85.85588707751282,13.182184345335035,12.436893012394975
86,107.23965272703379,13.330209143849597,12.610307714841806
87,131.61143917688494,13.478281056086054,12.783682190491017
88,159.4520625023178,13.626401523647134,12.957015185300104
89,190.7522868603871,13.774572082032773,13.130305362828112
90,225.36671285353634,13.92279437035981,13.303551295660881
91,263.0412270460794,14.071070142468773,13.476751455607374
92,323.03003684946464,14.219456366983758,13.649856996749731
93,366.8303806027207,14.367899694781489,13.822913572563351
94,411.5201727153176,14.516402291924967,13.9959192910863
95,456.12879827917163,14.664966502253051,14.168872103753781
96,499.4834475402868,14.813594869721298,14.341769785588223
97,540.4156116446272,14.96229016741165,14.514609909531645
98,604.6527040354988,15.111124931006133,14.687329952218574
99,637.1888201077767,15.260032554458755,14.85998718397471
100,663.5633942782065,15.409016688354782,15.032578399994675
101,711.4725982771438,15.259872375618343,14.860125583321896
102,735.3450686440771,15.409091615750924,15.032513571227826
103,754.0281204070752,15.259793673783248,14.860193739159035
104,775.4591202037287,15.409165407542455,15.032449610332614
105,803.8419330391902,15.25963847520055,14.86032844224333
106,820.4085278982883,15.409237151886916,15.03238725757602
107,827.5706086076665,15.558912504239506,15.20437937628536
108,844.1868990713713,15.409078718310461,15.03252526200767
109,845.1485822331496,15.558990078403935,15.204311711167447
110,847.1985811859828,15.40900697051561,15.032587899923465
